2025-03-13 19:37:38 | DEBUG    | Test_add.setUpClass:23 | MainThread | This is a debug message
2025-03-13 19:37:47 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:48 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:48 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:37:48 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:49 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:49 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:37:49 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:50 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:50 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:37:50 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:51 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:51 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:37:51 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:52 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:52 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:37:52 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:55 | INFO     | Test_add.tearDownClass:28 | MainThread | This is an info message
2025-03-13 19:41:32 | DEBUG    | Test_add.setUpClass:23 | MainThread | This is a debug message
2025-03-13 19:41:32 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:32 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:32 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:32 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:32 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:32 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:33 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:33 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:33 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:34 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:34 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:34 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:35 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:35 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:35 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:36 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:36 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:36 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:36 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:36 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:36 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:37 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:37 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:37 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:38 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:38 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:38 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:39 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:39 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:39 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:40 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:40 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:40 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:41 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:41 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:41 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:42 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:42 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:42 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:42 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:42 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:42 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:43 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:43 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:43 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:44 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:44 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:44 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:46 | WARNING  | Test_add.test_add:32 | MainThread | This is a 警告 message
2025-03-13 19:41:46 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:41:46 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:41:49 | INFO     | Test_add.tearDownClass:28 | MainThread | This is an info message
